"Num","Linea","Texto"
"1",8,"Cuestiones Académicas"
"2",13,"Cambio de Horario"
"3",47,"Cambio de solicitud por motivos personales."
"4",61,"Citas medicas"
"5",80,"Quiero estar mas tiempo con mi familia."
"6",85,"Cambio de turno fines de semana"
"7",93,"Solicito el cambio del viernes por solicitud personal. Gracias se los agradezco"
"8",107,"Este cambio es solicitado por ajuste en el horario de la universidad, si es necesario presentar el soporte quedo atenta a la notificacion respectiva para traerlo.



Muchas Gracias"
"9",125,"licencia no remunerada Por favor ajustar horarios por temas academicos. Gracias."
"10",175,"Licencia no remunerada Viernes y sabado."
"11",185,"Quiero estar mas tiempo con mi familia. Este es temporal para saber si hay SAP, para proximas solicitudes."
"12",192,"Quiero estar mas tiempo con mi familia."
"13",206,"Solicitud de cambio de horario, por requerimiento de la linea."
"14",231,"Thanks! ^_^"
"15",307,"Gracias. :)"
"16",399,"Solicitud fin de semana de Descanso."
"17",480,"Es para una boda familiar"
"18",651,"Estudios"
"19",690,"Cambio de turno para la proxima semana."
"20",691,"Cambio de horario para los dias viernes."
"21",891,"Solicito LNR por motivos personales"
"22",955,"Presentacion Examen Saber Pro."
"23",1242,"Cambio de day off por motivos personales"
"24",1265,"Buenas Noches, por medio de la presente solicito este horario para que se sirvan a evaluarlo. El horario solicitado es por que mi hija estudia en la tarde y los jueves  tengo reunion en la escuela."
"25",1312,"LNR"
"26",1425,"Seguridad, barrio zona de riesgo"
"27",1444,"Solicito este cambio por temas de transporte."
"28",1465,"HAPPY WORK - DILIGENCIAS PERSONALES"
"29",1898,"*"
"30",2333,"Se solicita cambio por movilidad."
"31",2460,"LNR por disponibilidad de la linea"
"32",2590,"PNR Solicito salir temprano por cita medica"
"33",2592,"cita de odontologia y es de dos horas"
"34",2631,"Cita medica programada"
"35",2639,"Cita medica urgente para renovar fórmula médica tratamiento actual. Que tengo de colon y tiroides. Gracias !!"
"36",2700,"lnr para realizar tramites medicos"
"37",2766,"Overtime"
"38",2851,"problemas personales"
"39",2878,"Licencia no remunerada. Cambio de horario por inicio de Jump. Gracias"
"40",3058,"paseo familiar"
"41",3291,"LNR"
"42",3404,"Solicitud de novedad de cita medica"
"43",3461,"diligencia de estudio"
"44",3528,"evento en el colegio de mi hija"
"45",3699,"solicitud cambio d?a de descanso desde la pr?xima semana de manera definitiva, para pasar tiempo con mis hijos gracias gracias"
"46",3715,"OverTime"
"47",3716,"Cumpleaños. GraciaS"
"48",3911,"2 horas de happy work por cumplea?os"
"49",3934,"Motivos personales gracias"
"50",3937,"control medico! gracias"
